,Title,Company,Location,Post_Date,URL,Current Status,Source,Description
422,Public Relations Specialist,QuinStreet,"Foster City, CA",2018-11-10 17:38:47,https://www.indeed.com/viewjob?jk=ffba238ebe4517bf,NaN,indeed,2.0
423,Producer II - The Situation Room with Wolf Blitzer,Time Warner,"Washington, DC",2018-10-27 17:38:47,https://www.indeed.com/viewjob?jk=1fbe92e14f51586b,NaN,indeed,NaN
424,Summer 2019 Barrons Journalism Internship,Dow Jones,"New York, NY 10176 (Murray Hill area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=7ffbca454172b985,NaN,indeed,NaN
425,Assistant Professor of Media Studies,State University of New York at New Paltz,"New Paltz, NY 12561",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=79e998b939d954ca,NaN,indeed,NaN
426,Public Relations Associate,Mintel Group,"Chicago, IL 60606 (Loop area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=954d63cb49a73789,NaN,indeed,1.0
427,Associate Producer - Newsgathering,Al Jazeera Media Network,"Washington, DC",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=29bed449a364b9c0,NaN,indeed,NaN
428,Spring 2019 Intern - CNNI Planning & ICU,Time Warner,"Atlanta, GA",2018-10-27 17:38:47,https://www.indeed.com/viewjob?jk=e030592a58a3195c,NaN,indeed,NaN
429,"Administrative Assistant, Architecture + Design (A+D)",SFMOMA,"San Francisco, CA 94103 (South Of Market area)",2018-10-20 17:38:49,https://www.indeed.com/viewjob?jk=e08d8d31ad26acc1,NaN,indeed,1.0
430,Communications Manager,US Cellular,"Chicago, IL",2018-11-07 17:38:49,https://www.indeed.com/viewjob?jk=d50b1231e84fb082,NaN,indeed,NaN
431,Professional In Residence (Content Adviser),Louisiana State University,"Baton Rouge, LA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=2025e0e2a8722d08,NaN,indeed,2.0
432,Summer 2019 Opinion Internships in New York,Dow Jones,"New York, NY 10176 (Murray Hill area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=29be69d85bbab99e,NaN,indeed,NaN
433,Sports Anchor / MSJ,TEGNA,"Washington, DC",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=eafc2b0ca1578976,NaN,indeed,NaN
434,News Producer,Nexstar Broadcasting,"Albuquerque, NM",2018-11-09 17:38:49,https://www.indeed.com/viewjob?jk=3bdba951a7410a7a,NaN,indeed,NaN
435,Postdoctoral Research Scholar,Columbia University,"New York, NY",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=5897e663a1106cb6,NaN,indeed,3.0
436,Managing Editor,The Charlotte Observer,"Charlotte, NC 28202 (Downtown Charlotte area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=fb85c4593718f073,NaN,indeed,1.0
437,Reporter,Tribune Media Company,"Richmond, VA",2018-10-16 17:38:50,https://www.indeed.com/viewjob?jk=6f3a3de8aef43883,NaN,indeed,NaN
438,Graphic Design Intern,The Fox Magazine,"El Segundo, CA 90245",2018-11-08 17:38:50,https://www.indeed.com/viewjob?jk=5360150586a96afd,NaN,indeed,NaN
439,Part Time Production Technician,Nexstar Broadcasting,"Albany, NY",2018-10-24 17:38:50,https://www.indeed.com/viewjob?jk=2bcfb200b890abc7,NaN,indeed,NaN
440,HRBP Lead – Marketing,Tableau,"Seattle, WA",2018-11-06 17:38:50,https://www.indeed.com/viewjob?jk=e1d956bc6c62c973,NaN,indeed,10.0
441,HR/Admin Assistant,Consumer Brands,"Newport Beach, CA 92660",2018-10-29 17:38:50,https://www.indeed.com/viewjob?jk=cc28e42524211904,NaN,indeed,NaN
442,"Vice President, Communications and Marketing",Population Reference Bureau,"Washington, DC 20009 (U Street Corridor area)",2018-11-09 17:38:50,https://www.indeed.com/viewjob?jk=b8b8fd5539f9bbf5,NaN,indeed,2.0
443,"Public Relations Manager, Consumer Media & Influencer Relations",GameStop,"Grapevine, TX",2018-11-07 17:38:50,https://www.indeed.com/viewjob?jk=eca9245b20da550d,NaN,indeed,NaN
444,"Instructor, Public Affairs Qualifications Course",Lewis Price and Associates INC,"Fort Meade, MD 20755",2018-11-02 17:38:50,https://www.indeed.com/viewjob?jk=a412f369cb561a03,NaN,indeed,NaN
445,"Fall 2018 Undergraduate Internship, Communications, NY & DC",ACLU,"New York, NY",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=700b477e35762427,NaN,indeed,NaN
446,Weekend Morning/Anchor Reporter,Tribune Media Company,"Fort Smith, AR",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=2cc71371ba78a72a,NaN,indeed,NaN
447,Reporter - Architecture,CoStar Group,"Washington, DC 20005 (Logan Circle area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=83fd1b5fe58fe128,NaN,indeed,2.0
448,Fellowship -- Designer/Digital News Design,The New York Times,"New York, NY",2018-11-06 17:38:52,https://www.indeed.com/viewjob?jk=f0bb795a666f4e64,NaN,indeed,NaN
449,"Senior Producer/Journalist, Kojo Nnamdi Show (14756)",American University,"Washington, DC 20008 (Cleveland Park area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=a080b66c767be7ea,NaN,indeed,NaN
450,Senior Publicist,Boston Symphony,"Boston, MA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=f4d0183bc5cd5c13,NaN,indeed,NaN
451,Communications Director,Climate Central,"Princeton, NJ 08542",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=ca0f5cd27a4b8ffe,NaN,indeed,2.0
452,"Business & Operations Coordinator, IRW (15191)",American University,"Washington, DC",2018-10-31 17:38:54,https://www.indeed.com/viewjob?jk=8563c46e8d9fc6a9,NaN,indeed,NaN
453,"Research Assistant, China Center (Job ID: 2018-1830)",The Brookings Institution,"Washington, DC",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=3262c85b53cc7461,NaN,indeed,5.0
454,Commodity Markets Reporter,Argus Media,"New York, NY",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=51054c456decb68c,NaN,indeed,1.0
455,Diverse Voices in Science Journalism (DVSJ) Intern,American Association For the Advancement of Scienc...,"Washington, DC",2018-10-18 17:38:54,https://www.indeed.com/viewjob?jk=a6ca1d34405a2380,NaN,indeed,NaN
